Region,Product,Date,Sales
North,Product_A,2024-05-17,1448
South,Product_C,2025-01-25,4229
South,Product_A,2024-09-22,3219
North,Product_A,2024-05-07,3814
South,Product_D,2024-12-09,2535
North,Product_A,2024-11-01,2516
East,Product_D,2025-02-02,1639
North,Product_C,2024-08-19,2217
East,Product_B,2024-08-27,3262
South,Product_D,2024-06-25,4227
North,Product_B,2024-05-22,1757
East,Product_C,2024-10-04,1081
North,Product_A,2024-07-21,1940
West,Product_D,2024-11-21,3902
East,Product_C,2024-04-01,1570
North,Product_C,2024-11-27,3193
South,Product_D,2024-09-02,4296
West,Product_C,2024-09-17,3514
West,Product_D,2024-10-06,2764
North,Product_C,2024-06-27,1041
North,Product_C,2025-01-25,3557
South,Product_B,2024-07-31,1301
South,Product_D,2024-02-13,594
West,Product_C,2024-02-20,1141
North,Product_A,2024-02-28,2419
North,Product_A,2024-07-22,4788
East,Product_D,2024-09-20,1495
South,Product_B,2024-11-11,3791
South,Product_C,2024-02-25,1557
East,Product_A,2025-01-09,4985
West,Product_D,2024-06-21,3050
West,Product_A,2024-05-01,3958
West,Product_C,2024-09-10,2862
East,Product_A,2024-11-12,3983
West,Product_D,2024-03-01,2114
South,Product_B,2025-02-03,3009
South,Product_D,2024-04-28,4086
South,Product_C,2024-07-26,4654
West,Product_A,2025-02-10,3791
North,Product_D,2024-10-26,4437
West,Product_B,2024-05-23,3551
South,Product_D,2024-12-12,3206
North,Product_B,2024-03-19,874
North,Product_D,2024-04-17,1381
North,Product_B,2024-06-06,3343
North,Product_C,2024-05-12,3849
South,Product_A,2024-11-03,1810
West,Product_D,2024-10-07,2108
East,Product_B,2024-03-03,983
South,Product_D,2024-07-22,4819
South,Product_C,2024-08-24,4197
East,Product_A,2025-02-02,1805
West,Product_D,2024-05-26,3681
West,Product_A,2024-09-01,912
East,Product_B,2024-05-31,1098
West,Product_D,2024-11-20,4658
West,Product_C,2024-12-01,678
North,Product_D,2024-09-03,2585
North,Product_C,2024-08-02,4807
West,Product_D,2024-06-13,1086
West,Product_A,2024-08-17,2530
West,Product_A,2024-06-23,1201
East,Product_C,2024-06-05,4600
East,Product_C,2024-09-06,4127
East,Product_B,2024-04-27,3150
North,Product_A,2024-12-29,2083
South,Product_D,2024-12-31,3649
East,Product_C,2024-04-29,1605
South,Product_B,2024-03-12,3377
East,Product_D,2024-12-17,3601
West,Product_A,2024-12-10,1038
East,Product_A,2024-06-22,4946
South,Product_D,2025-02-08,2489
East,Product_D,2024-11-23,4207
West,Product_B,2024-05-21,1717
North,Product_A,2024-03-13,595
West,Product_A,2024-03-04,4885
South,Product_D,2024-10-14,2141
South,Product_D,2024-10-09,1586
South,Product_C,2024-06-20,807
East,Product_B,2024-02-16,2319
West,Product_C,2024-08-15,4597
East,Product_C,2024-06-04,523
East,Product_A,2025-01-07,2097
East,Product_D,2024-10-23,2454
South,Product_C,2024-06-09,3622
East,Product_D,2024-07-31,2958
South,Product_B,2025-01-28,3839
East,Product_B,2024-05-16,3411
North,Product_C,2024-06-20,536
East,Product_B,2024-09-02,4283
North,Product_A,2024-11-30,3959
North,Product_C,2024-12-25,2333
South,Product_C,2025-02-07,1394
West,Product_A,2024-05-30,4201
West,Product_A,2025-01-17,4727
East,Product_B,2024-06-25,1780
North,Product_A,2025-01-23,1767
North,Product_B,2025-02-03,1337
South,Product_C,2024-03-23,641
West,Product_A,2024-07-08,3183
West,Product_B,2024-05-25,1179
East,Product_D,2024-07-23,3896
West,Product_B,2024-08-07,1763
East,Product_C,2024-02-22,4467
North,Product_C,2024-08-17,1632
North,Product_B,2024-10-07,3930
North,Product_B,2024-08-08,1434
East,Product_C,2024-03-05,4594
East,Product_B,2024-07-07,1345
North,Product_D,2024-09-02,3578
South,Product_C,2024-10-06,717
East,Product_A,2024-02-13,840
North,Product_A,2024-08-28,2384
East,Product_A,2024-08-17,1835
North,Product_D,2024-09-11,2248
East,Product_A,2025-01-27,732
West,Product_C,2024-10-25,3227
West,Product_C,2024-07-23,4387
North,Product_A,2024-05-08,3867
South,Product_A,2025-02-09,2187
South,Product_D,2024-06-15,1114
West,Product_C,2024-11-29,2446
North,Product_C,2025-01-10,4111
North,Product_D,2024-09-26,2682
West,Product_B,2024-07-12,4952
West,Product_D,2025-01-15,2142
East,Product_D,2024-06-03,3936
North,Product_D,2024-05-25,1317
North,Product_D,2024-04-21,3631
South,Product_C,2024-08-29,3141
East,Product_D,2024-12-17,4727
East,Product_B,2024-11-27,3847
East,Product_A,2024-07-26,1019
North,Product_D,2024-02-14,3260
East,Product_D,2025-01-20,4453
South,Product_A,2024-11-07,4715
East,Product_B,2024-04-20,1500
North,Product_B,2024-04-08,1797
South,Product_D,2024-10-13,714
East,Product_D,2024-07-25,3297
West,Product_A,2024-03-02,1030
South,Product_B,2024-09-03,3074
North,Product_D,2024-12-09,3142
West,Product_D,2025-01-17,4114
East,Product_C,2024-08-18,3542
East,Product_A,2025-01-20,3020
East,Product_A,2024-07-13,3052
North,Product_A,2024-07-07,2933
West,Product_B,2024-06-15,3032
South,Product_B,2024-03-11,2639
South,Product_C,2024-06-09,2625
West,Product_A,2025-02-10,602
West,Product_D,2024-08-02,2456
North,Product_D,2024-02-23,3667
South,Product_B,2024-08-13,3666
West,Product_D,2024-09-27,875
North,Product_D,2024-10-14,4108
West,Product_C,2024-09-19,4105
East,Product_B,2024-04-08,4162
North,Product_B,2024-05-19,1287
North,Product_B,2024-07-19,1466
West,Product_C,2025-01-20,1707
North,Product_A,2025-01-01,1789
East,Product_A,2024-10-13,4957
East,Product_D,2024-03-05,4262
West,Product_A,2024-12-17,1432
North,Product_D,2024-05-25,2402
North,Product_C,2024-03-10,1686
South,Product_C,2024-04-12,2871
West,Product_B,2025-02-01,2594
East,Product_B,2024-10-11,3935
South,Product_B,2024-04-12,2148
East,Product_D,2025-01-17,4275
South,Product_C,2024-09-03,3571
East,Product_A,2024-02-18,2571
South,Product_C,2024-03-20,4363
West,Product_D,2024-05-30,3380
West,Product_B,2024-09-18,4195
North,Product_A,2024-02-14,3432
West,Product_D,2024-03-23,2646
South,Product_D,2024-07-22,2840
East,Product_D,2024-09-08,3730
North,Product_C,2024-04-27,1228
North,Product_D,2024-12-23,4313
East,Product_D,2024-07-13,518
East,Product_B,2024-06-03,2775
South,Product_D,2024-04-21,2115
West,Product_A,2024-10-13,513
East,Product_A,2025-02-03,2813
East,Product_D,2025-01-22,1177
South,Product_A,2024-12-19,943
North,Product_A,2024-11-25,598
East,Product_D,2024-06-03,1441
South,Product_D,2024-09-02,1338
South,Product_C,2024-10-02,2331
West,Product_B,2024-05-04,3072
East,Product_B,2024-03-08,3173
South,Product_D,2024-09-26,1487
North,Product_D,2024-06-13,2747
West,Product_C,2025-01-26,4224
South,Product_C,2024-08-15,2300
South,Product_C,2024-03-25,1415
West,Product_C,2024-10-31,4029
West,Product_B,2024-03-16,1874
East,Product_B,2024-02-15,577
South,Product_B,2024-09-30,1762
South,Product_D,2024-05-01,3531
South,Product_D,2024-04-12,1529
South,Product_A,2024-10-13,2759
East,Product_C,2025-01-25,1293
South,Product_B,2024-08-27,4978
West,Product_C,2024-04-22,1388
South,Product_B,2024-03-09,2094
South,Product_A,2024-07-24,1583
North,Product_A,2024-09-27,531
West,Product_C,2024-10-23,3294
West,Product_D,2024-08-24,668
West,Product_B,2024-12-02,4275
North,Product_D,2024-12-17,1408
North,Product_D,2024-04-12,3528
South,Product_C,2024-09-11,4122
West,Product_D,2024-08-07,3797
North,Product_B,2024-05-16,1462
South,Product_B,2024-11-29,913
West,Product_B,2024-03-28,1267
West,Product_C,2024-05-28,4870
West,Product_A,2024-08-26,4016
North,Product_D,2024-07-08,2824
West,Product_D,2024-02-25,2331
South,Product_B,2024-09-23,3211
South,Product_C,2024-05-31,1127
North,Product_A,2024-03-14,1934
East,Product_A,2024-09-19,1116
West,Product_B,2024-09-27,1346
North,Product_A,2024-09-07,2642
West,Product_C,2025-01-07,2913
South,Product_A,2024-06-23,960
West,Product_C,2024-05-25,4652
West,Product_C,2024-02-14,1757
South,Product_D,2024-04-23,4908
West,Product_C,2024-04-16,4240
East,Product_B,2024-11-09,3274
North,Product_A,2024-06-02,2192
East,Product_A,2024-07-21,1697
North,Product_B,2024-04-12,3628
East,Product_C,2024-10-24,4316
East,Product_D,2024-06-27,4643
North,Product_A,2024-11-19,1595
West,Product_C,2024-07-07,2090
North,Product_A,2024-03-28,4850
West,Product_B,2024-10-12,3103
South,Product_D,2024-11-29,1180
South,Product_C,2025-01-21,4397
East,Product_A,2024-07-17,1901
North,Product_C,2024-05-02,670
East,Product_C,2024-05-11,3519
East,Product_D,2024-05-12,3917
East,Product_C,2024-04-16,695
South,Product_D,2024-07-24,1436
West,Product_B,2024-07-21,628
North,Product_B,2024-02-11,4399
North,Product_B,2024-03-21,2234
North,Product_C,2024-03-05,4290
North,Product_A,2024-11-12,991
North,Product_B,2024-07-25,1684
West,Product_D,2024-06-17,4193
East,Product_B,2024-10-06,1013
North,Product_C,2024-08-27,1341
North,Product_A,2024-12-17,1676
North,Product_B,2024-03-15,3902
North,Product_A,2024-12-04,3458
South,Product_A,2024-05-07,4438
West,Product_D,2024-03-07,4186
North,Product_D,2024-05-09,2131
North,Product_C,2024-11-26,4290
East,Product_A,2024-03-24,4044
South,Product_A,2025-02-03,3117
East,Product_C,2024-12-10,4921
West,Product_D,2024-07-23,4680
South,Product_B,2024-12-16,4522
North,Product_D,2024-08-24,835
West,Product_C,2024-08-13,2383
East,Product_A,2024-12-21,1816
East,Product_C,2024-09-12,3708
South,Product_C,2024-12-16,619
North,Product_A,2024-12-22,3148
East,Product_A,2024-10-10,3326
West,Product_C,2024-10-20,2389
West,Product_B,2024-12-01,3897
West,Product_D,2024-04-05,4697
West,Product_B,2024-11-25,2012
West,Product_A,2024-06-16,1204
West,Product_C,2024-10-09,4890
West,Product_C,2024-06-14,2314
North,Product_B,2024-03-03,4102
South,Product_D,2024-09-11,1874
West,Product_D,2024-04-11,1608
West,Product_B,2024-10-30,1375
South,Product_B,2024-04-25,1333
North,Product_A,2024-12-15,1798
South,Product_A,2024-10-15,1583
West,Product_C,2024-03-19,1080
South,Product_C,2024-08-30,4213
North,Product_A,2024-12-12,3192
West,Product_C,2024-07-16,4990
West,Product_C,2024-09-21,3333
North,Product_D,2024-07-03,3867
West,Product_B,2024-03-12,2045
North,Product_A,2024-07-21,4051
West,Product_D,2024-12-14,1295
North,Product_C,2024-07-18,3122
South,Product_A,2024-07-27,3212
South,Product_A,2024-11-02,2826
North,Product_B,2024-05-01,3431
East,Product_B,2024-03-12,2554
West,Product_C,2024-06-16,1236
South,Product_D,2024-11-08,3401
West,Product_C,2024-10-03,4231
South,Product_C,2024-02-15,2433
South,Product_C,2025-01-05,1040
West,Product_C,2024-09-22,1697
North,Product_D,2024-02-12,3711
West,Product_D,2024-12-14,4650
East,Product_A,2024-09-13,957
East,Product_A,2024-08-05,4123
East,Product_C,2024-08-25,1265
East,Product_B,2025-01-10,2768
East,Product_B,2024-11-03,4045
South,Product_D,2024-05-30,4765
West,Product_D,2024-02-20,1482
East,Product_D,2024-06-28,4443
North,Product_B,2024-02-26,1077
North,Product_D,2024-09-09,1467
North,Product_C,2024-07-31,745
East,Product_C,2025-01-12,2878
East,Product_D,2024-04-21,3500
North,Product_C,2024-07-20,2242
South,Product_D,2024-07-17,2234
West,Product_B,2024-05-31,4981
North,Product_D,2024-03-24,4230
East,Product_B,2024-02-16,3654
West,Product_D,2024-08-13,754
South,Product_D,2024-02-20,3552
South,Product_C,2024-03-19,4923
East,Product_D,2024-09-06,3716
South,Product_B,2024-12-26,3216
East,Product_D,2025-01-30,2380
East,Product_B,2024-12-13,2199
North,Product_B,2024-08-18,833
South,Product_D,2024-12-10,2978
East,Product_D,2024-08-07,3912
West,Product_B,2024-05-25,3004
North,Product_B,2024-07-05,3469
South,Product_A,2024-05-10,514
North,Product_C,2024-07-28,677
South,Product_B,2024-03-09,780
East,Product_B,2024-05-17,2908
South,Product_A,2024-10-26,1015
South,Product_B,2024-11-05,1107
East,Product_B,2024-09-01,905
East,Product_B,2025-02-09,3067
North,Product_C,2024-10-20,1692
East,Product_A,2024-02-22,2938
East,Product_C,2024-12-16,2840
North,Product_A,2024-07-09,2372
West,Product_D,2024-10-13,3439
West,Product_B,2024-02-19,3217
West,Product_A,2024-06-26,1419
South,Product_B,2024-10-25,1504
South,Product_C,2024-04-16,4777
West,Product_D,2024-06-26,4581
North,Product_A,2024-04-04,2973
West,Product_D,2024-04-19,4613
South,Product_A,2024-06-09,2803
West,Product_A,2024-07-30,2474
South,Product_D,2024-07-10,4990
North,Product_A,2024-03-16,4732
East,Product_A,2024-09-17,2382
East,Product_B,2024-05-26,4042
South,Product_D,2024-02-14,829
East,Product_A,2024-06-28,1191
North,Product_D,2024-11-04,4366
North,Product_B,2024-09-26,4495
East,Product_C,2024-07-20,1477
West,Product_C,2025-01-16,2657
South,Product_A,2024-08-14,3125
East,Product_A,2024-02-15,4587
East,Product_A,2024-08-27,2102
South,Product_C,2024-09-19,3916
South,Product_C,2024-11-20,2919
South,Product_A,2024-08-13,1401
North,Product_B,2024-12-30,4689
East,Product_C,2025-01-07,4468
South,Product_D,2024-12-28,1950
South,Product_C,2024-05-28,4217
West,Product_C,2024-12-24,1308
West,Product_C,2024-05-21,1374
North,Product_C,2024-07-13,1006
West,Product_A,2024-06-14,2714
West,Product_C,2024-10-09,1900
East,Product_C,2024-03-08,587
West,Product_B,2025-01-16,2130
South,Product_A,2025-01-17,2292
North,Product_D,2025-02-10,2728
West,Product_C,2024-06-09,3857
West,Product_D,2024-04-06,3972
East,Product_D,2025-01-08,1679
East,Product_D,2024-12-08,2700
South,Product_D,2024-06-10,4975
South,Product_C,2025-02-04,3249
East,Product_B,2025-02-03,3480
North,Product_D,2025-01-29,3499
North,Product_A,2024-06-19,2111
North,Product_A,2024-04-20,1883
West,Product_D,2024-11-12,4593
South,Product_C,2024-05-30,1702
West,Product_A,2024-10-31,3582
North,Product_C,2024-02-19,2821
East,Product_C,2024-10-01,3270
South,Product_D,2024-06-17,4346
South,Product_C,2024-04-03,4178
East,Product_C,2024-12-18,2923
West,Product_A,2024-12-01,4048
West,Product_B,2025-02-04,657
East,Product_A,2024-12-03,1738
East,Product_A,2024-11-09,2404
West,Product_B,2024-03-15,1773
West,Product_A,2024-04-23,3209
West,Product_D,2024-10-09,3055
East,Product_A,2024-11-15,1291
South,Product_D,2024-12-24,4886
West,Product_C,2024-03-10,3732
West,Product_B,2024-02-22,3185
East,Product_A,2024-09-20,838
East,Product_B,2024-06-29,1542
East,Product_A,2024-12-05,4345
East,Product_B,2024-12-10,1758
South,Product_D,2024-05-08,4628
North,Product_C,2024-08-26,3328
North,Product_C,2024-12-27,1415
North,Product_B,2024-07-18,3060
South,Product_B,2024-03-06,1213
South,Product_D,2025-01-25,1766
East,Product_A,2024-07-26,1841
South,Product_D,2025-01-17,1222
West,Product_C,2024-03-19,1469
South,Product_D,2024-07-11,4380
West,Product_A,2024-11-18,4550
West,Product_C,2024-08-06,691
South,Product_B,2025-01-30,2194
South,Product_A,2024-08-31,3530
North,Product_C,2024-12-09,4267
East,Product_B,2024-05-29,1394
North,Product_B,2024-08-02,2223
East,Product_D,2025-02-07,2123
West,Product_B,2024-10-21,3028
East,Product_C,2024-06-08,2960
West,Product_C,2024-09-05,4394
West,Product_C,2024-07-03,2865
West,Product_A,2024-02-28,2141
West,Product_D,2024-05-22,4561
East,Product_D,2024-08-05,3043
East,Product_B,2024-08-07,3263
West,Product_B,2024-06-04,4778
North,Product_A,2024-10-28,1423
South,Product_C,2024-12-05,1910
East,Product_D,2024-06-09,4980
South,Product_B,2024-10-30,3541
South,Product_B,2024-07-07,3525
East,Product_B,2024-06-23,4236
East,Product_B,2024-12-26,2466
South,Product_B,2024-08-31,2570
South,Product_C,2024-08-02,4261
North,Product_C,2024-08-05,4828
South,Product_D,2024-12-16,1134
North,Product_A,2024-06-26,4807
West,Product_D,2024-05-05,2002
East,Product_D,2024-05-09,2869
South,Product_D,2025-02-08,2066
West,Product_B,2024-08-19,3497
North,Product_B,2024-07-03,2435
East,Product_B,2024-10-14,2824
West,Product_B,2024-05-25,3527
South,Product_C,2024-09-29,3844
South,Product_D,2024-04-29,839
South,Product_A,2024-03-07,3694
East,Product_C,2024-12-21,1760
West,Product_D,2024-08-12,2042
East,Product_B,2024-07-19,1523
West,Product_A,2024-08-02,3338
West,Product_B,2025-01-17,1764
East,Product_D,2024-11-04,2361
South,Product_A,2024-10-20,3698
East,Product_A,2024-09-21,1827
South,Product_C,2025-01-27,2025
North,Product_D,2024-09-15,1420
South,Product_C,2024-05-05,609
South,Product_B,2024-11-13,4212
North,Product_B,2024-10-22,1233
South,Product_A,2024-10-13,1636
North,Product_C,2024-10-05,3112
East,Product_A,2025-01-01,984
North,Product_D,2024-05-07,3497
East,Product_A,2024-07-21,1461
East,Product_D,2024-03-23,4982
North,Product_B,2024-08-19,4860
South,Product_B,2024-06-22,3957
South,Product_D,2024-02-19,4870
West,Product_A,2024-02-23,2596
East,Product_D,2024-10-31,1362
South,Product_A,2024-02-20,822
North,Product_D,2024-09-24,1635
South,Product_A,2024-09-17,1512
North,Product_B,2024-03-12,4792
North,Product_B,2024-12-09,4943
South,Product_D,2024-11-27,1605
West,Product_C,2024-06-22,4180
West,Product_C,2024-06-18,3791
South,Product_C,2024-06-18,3342
East,Product_D,2025-01-24,1578
East,Product_B,2024-11-05,1558
South,Product_B,2024-05-30,3419
North,Product_A,2024-06-27,2837
West,Product_C,2024-04-10,3362
East,Product_C,2024-04-05,1379
East,Product_D,2024-02-22,2956
East,Product_C,2024-07-24,3008
East,Product_C,2024-04-30,1606
East,Product_A,2024-04-08,2213
North,Product_A,2024-04-30,4425
West,Product_D,2024-05-26,4609
West,Product_D,2024-12-18,4313
East,Product_A,2024-10-24,684
South,Product_C,2024-03-25,3704
West,Product_C,2025-01-29,807
East,Product_B,2024-07-13,3730
East,Product_A,2024-12-05,674
West,Product_D,2024-08-10,4476
North,Product_B,2024-07-27,1141
West,Product_A,2024-06-24,703
West,Product_B,2024-10-25,1851
West,Product_D,2024-02-28,4158
North,Product_D,2024-04-16,2103
North,Product_C,2024-06-23,3419
East,Product_A,2024-04-05,2706
South,Product_A,2024-12-28,4306
North,Product_C,2024-11-27,4591
North,Product_C,2024-08-20,742
East,Product_A,2024-06-23,3540
North,Product_A,2024-03-23,4319
South,Product_C,2024-06-02,1885
East,Product_A,2024-09-03,1844
East,Product_D,2024-12-22,3536
East,Product_D,2024-04-30,743
West,Product_D,2025-01-02,3332
South,Product_B,2024-12-04,922
West,Product_D,2024-12-21,687
South,Product_B,2024-11-03,2615
East,Product_A,2024-09-01,2730
North,Product_D,2024-05-26,4622
East,Product_B,2024-03-03,2621
West,Product_A,2024-12-08,625
South,Product_B,2024-11-14,1347
North,Product_C,2024-08-13,4217
South,Product_D,2024-05-21,2942
South,Product_C,2024-09-29,4113
West,Product_D,2024-12-01,4060
South,Product_B,2025-02-08,3905
South,Product_B,2025-02-02,581
North,Product_D,2024-03-14,2411
South,Product_A,2024-11-27,3552
West,Product_C,2024-02-12,3324
North,Product_B,2024-09-21,3604
West,Product_A,2024-03-03,3435
West,Product_D,2024-03-22,3746
East,Product_C,2024-12-17,2347
West,Product_A,2025-02-01,1591
South,Product_C,2024-07-18,3800
East,Product_D,2024-12-30,4545
West,Product_B,2024-04-11,3894
South,Product_B,2024-08-14,4541
North,Product_B,2024-08-30,3481
East,Product_C,2024-03-09,4829
South,Product_B,2024-03-21,1852
North,Product_A,2024-03-13,3426
West,Product_B,2024-07-22,3055
North,Product_B,2024-06-07,4243
East,Product_D,2024-02-18,2877
South,Product_B,2024-10-29,1905
South,Product_C,2024-10-18,2197
North,Product_B,2024-03-08,1964
West,Product_C,2024-02-21,2605
South,Product_A,2024-07-06,2206
South,Product_A,2024-11-10,2812
West,Product_A,2025-02-07,2689
North,Product_B,2024-03-06,2662
East,Product_C,2024-09-27,1286
North,Product_C,2025-01-20,4581
South,Product_B,2025-01-21,3719
East,Product_A,2024-03-27,2193
West,Product_C,2024-09-25,2455
South,Product_D,2024-10-18,3659
South,Product_D,2024-06-06,4582
West,Product_D,2024-03-07,4394
West,Product_A,2024-07-10,3390
North,Product_A,2024-04-10,2498
South,Product_D,2024-10-27,2053
North,Product_B,2024-03-10,613
East,Product_B,2024-06-29,4718
South,Product_B,2025-02-10,1839
West,Product_C,2024-07-18,3539
North,Product_C,2024-12-15,2986
West,Product_C,2024-11-06,1404
North,Product_A,2024-05-19,851
East,Product_B,2024-10-19,3568
South,Product_A,2024-03-27,1273
East,Product_C,2024-09-16,1519
South,Product_B,2024-02-17,710
South,Product_A,2024-09-30,658
East,Product_C,2024-04-16,3960
East,Product_B,2025-01-11,2300
West,Product_B,2024-04-24,1425
North,Product_D,2024-09-24,1875
South,Product_B,2024-11-01,4804
South,Product_C,2024-07-06,4766
North,Product_A,2024-04-13,4938
East,Product_D,2024-12-02,3983
West,Product_D,2024-08-11,4636
North,Product_A,2024-04-15,4978
East,Product_B,2024-12-23,3162
East,Product_B,2024-04-07,966
East,Product_D,2025-01-06,2057
East,Product_B,2024-04-20,3900
East,Product_C,2024-12-27,4022
West,Product_B,2025-01-16,1436
East,Product_D,2024-11-28,4412
West,Product_C,2024-11-08,1963
South,Product_C,2024-09-03,2026
South,Product_C,2024-07-13,1827
North,Product_B,2024-09-06,4065
East,Product_C,2024-09-05,2444
South,Product_B,2024-10-28,4713
West,Product_D,2024-12-19,1241
South,Product_C,2024-12-20,1746
South,Product_A,2024-04-26,3080
South,Product_D,2024-12-09,3924
South,Product_C,2024-05-10,1849
South,Product_B,2024-02-20,4968
North,Product_D,2024-07-13,2954
North,Product_C,2024-06-12,2112
South,Product_A,2024-10-17,3298
East,Product_D,2024-09-22,1116
East,Product_A,2024-09-01,1515
North,Product_B,2024-04-09,1810
South,Product_A,2024-08-03,2411
West,Product_A,2024-03-18,3576
West,Product_D,2024-11-27,3406
West,Product_C,2024-09-22,2376
West,Product_B,2025-02-04,1356
East,Product_C,2024-03-01,2258
West,Product_A,2024-08-02,4414
North,Product_A,2024-02-16,1405
North,Product_D,2024-12-25,4574
East,Product_B,2024-04-17,4391
North,Product_A,2024-12-30,2282
South,Product_D,2025-01-16,4393
West,Product_B,2024-10-14,1332
East,Product_A,2024-11-02,3243
North,Product_A,2024-07-23,688
West,Product_C,2024-05-19,1442
West,Product_C,2024-02-25,2165
North,Product_B,2024-04-09,1999
East,Product_D,2024-07-09,4793
West,Product_A,2024-09-19,4344
West,Product_C,2024-08-17,4495
West,Product_C,2024-12-08,4991
South,Product_A,2024-07-02,2023
South,Product_C,2025-01-26,2503
North,Product_C,2024-04-27,4119
North,Product_C,2024-09-21,4231
West,Product_A,2024-10-18,3681
South,Product_A,2024-03-12,1102
West,Product_B,2024-09-22,3949
West,Product_A,2024-12-18,3811
East,Product_B,2024-03-20,4516
South,Product_C,2024-04-23,4929
West,Product_D,2025-01-21,3798
South,Product_C,2024-09-29,4779
West,Product_C,2024-12-29,1941
East,Product_B,2024-08-30,570
West,Product_D,2024-06-10,2539
